node_id,node_type,degree
COMPOUND_9004ce399c2a,Compound,5
COMPOUND_72dbc3a95fef,Compound,8
COMPOUND_1dd467f7f991,Compound,7
COMPOUND_558ad70336f8,Compound,6
COMPOUND_71c41f10aca6,Compound,17
COMPOUND_d85ccf8aca8c,Compound,6
COMPOUND_6d9123c8993a,Compound,4
COMPOUND_049a21ae131b,Compound,7
COMPOUND_dfb598ee9b2f,Compound,10
COMPOUND_56237a7cf874,Compound,24
COMPOUND_a0901a576890,Compound,18
COMPOUND_ee468af67297,Compound,4
COMPOUND_149c147b0d93,Compound,14
COMPOUND_04fe87779405,Compound,13
COMPOUND_5cf2dbc6a293,Compound,28
COMPOUND_87dc236a64a3,Compound,8
COMPOUND_e87ce6b3a27b,Compound,10
COMPOUND_4d540add8c51,Compound,5
COMPOUND_bb49611aa259,Compound,11
COMPOUND_d8438fe1dea5,Compound,28
COMPOUND_fec3fa141c31,Compound,7
COMPOUND_74f13c20a26f,Compound,8
COMPOUND_e05e5cec2a2d,Compound,8
COMPOUND_b198011eb37b,Compound,6
COMPOUND_ebc3153baaef,Compound,18
COMPOUND_4532c1e7d544,Compound,16
COMPOUND_e2c55cf429c4,Compound,9
COMPOUND_f76c522781a2,Compound,3
COMPOUND_899cf06b47e4,Compound,6
COMPOUND_e14a6138b047,Compound,22
COMPOUND_e75db4b47277,Compound,11
COMPOUND_87ee03e63f60,Compound,6
COMPOUND_a3040ad64318,Compound,16
COMPOUND_3bcd8ad0daaf,Compound,5
COMPOUND_34176e1edb1b,Compound,10
COMPOUND_66c81a6de0b7,Compound,4
COMPOUND_642328155fbf,Compound,5
COMPOUND_3d95df452764,Compound,5
DISEASE_5e294e090c89,Disease,354
DISEASE_578708c54b66,Disease,605
DISEASE_42f9fa377b98,Disease,295
DISEASE_77eeb002dea4,Disease,989
DISEASE_49d327bd2471,Disease,352
DISEASE_093461e46ef0,Disease,214
DISEASE_b0f77e3c448f,Disease,301
DISEASE_e7a747ffb620,Disease,562
DISEASE_d60c11b4f6b2,Disease,381
DISEASE_a55ae08be693,Disease,31
DISEASE_2d4453bb6a55,Disease,191
DISEASE_4897ef63abc5,Disease,155
DISEASE_120d64215d86,Disease,103
DISEASE_24ceab442a72,Disease,350
DISEASE_071459a0c2fd,Disease,1393
DISEASE_c682ec6ab46f,Disease,101
DISEASE_cae829ba6aa7,Disease,24
DISEASE_3b8a11a25b71,Disease,366
DISEASE_f108bcdcb03d,Disease,650
DISEASE_57750b73b487,Disease,15
DISEASE_9fee7a39f2e6,Disease,209
DISEASE_45951bf1b8eb,Disease,39
DISEASE_5cbc093559fd,Disease,214
DISEASE_2a05320b478b,Disease,170
DISEASE_64ebcb4eee46,Disease,206
DISEASE_3c2f74a672de,Disease,238
DISEASE_8a7c7e622122,Disease,2
DISEASE_7aedd7ced7c9,Disease,511
DISEASE_8a5c6f7d4d6b,Disease,14
DISEASE_621e669699d1,Disease,534
DISEASE_c854250b7937,Disease,149
DISEASE_c098e9e0a004,Disease,671
DISEASE_cc5b8416e01f,Disease,83
DISEASE_b2fb9d5c8633,Disease,290
DISEASE_3a7beb4aceb1,Disease,237
DISEASE_8c8e2ee1f44f,Disease,195
DISEASE_2eafce0226c4,Disease,417
DISEASE_feccf9386d2e,Disease,1
DISEASE_e52ccdb955e5,Disease,353
DISEASE_ef3323aa3b9e,Disease,251
DISEASE_3e090ec6a1d8,Disease,172
DISEASE_f1aa39a224ea,Disease,722
DISEASE_33f32d4c3a5c,Disease,1
DISEASE_b2a66b919818,Disease,1176
DISEASE_13ef8ee6ec1a,Disease,116
DISEASE_d93f8f27be36,Disease,130
DISEASE_0ace1f8e701c,Disease,250
DISEASE_9a8267207001,Disease,157
DISEASE_66ce053b0c0b,Disease,106
DISEASE_2485972eab2b,Disease,465
DISEASE_305ba3fb0805,Disease,218
DISEASE_b513fd65760f,Disease,132
DISEASE_e2f37d4a7296,Disease,771
DISEASE_fbc735467173,Disease,127
DISEASE_800f3dcd7399,Disease,41
DISEASE_a3b8101aee89,Disease,80
DISEASE_c65a4f94d93a,Disease,119
DISEASE_d408fc9fe246,Disease,206
DISEASE_5a3ed51c21b9,Disease,366
GROUP_07053b06ed08,Group,1
GROUP_f4625d659b6c,Group,2
GROUP_18f765ab6d7d,Group,1
GROUP_b8d4fdb970b2,Group,1
GROUP_4ea5e9ce9a91,Group,10
GROUP_6aecf57616ed,Group,4
GROUP_6b73a6e4d1b9,Group,1
GROUP_772a79b43db0,Group,2
GROUP_dce583b0858e,Group,1
GROUP_730d8cd9cee4,Group,3
GROUP_e523a0c71cac,Group,1
GROUP_f6fd72174343,Group,4
GROUP_0198be3df1f6,Group,1
GROUP_3c9128237e88,Group,3
GROUP_6633d7bf0cc6,Group,1
GROUP_2d8089ffbf4f,Group,2
GROUP_84eaeb7e4894,Group,4
GROUP_3fed4d335ac5,Group,1
GROUP_b11d068c8104,Group,1
GROUP_4b47f76f5486,Group,1
GROUP_1b5ad6e3d52a,Group,1
GROUP_b9dad3523e11,Group,2
GROUP_bc0e767e6de6,Group,1
GROUP_58a27a46d761,Group,9
GROUP_944aacf47d24,Group,1
GROUP_4149f2e85a13,Group,1
GROUP_acd4166cce1b,Group,7
GROUP_5892dac3ae57,Group,3
GROUP_962ea06c7f58,Group,1
GROUP_e252f36d22a5,Group,1
GROUP_2105e7d954c6,Group,2
GROUP_9d20776d34d7,Group,1
GROUP_b697fd8b0de5,Group,1
GROUP_59c8f7aa6eaf,Group,6
GROUP_8ff9aacebd5f,Group,1
GROUP_a2907f41c950,Group,1
GROUP_59ebf396aaf9,Group,6
GROUP_02588d7b9f3c,Group,9
GROUP_471e995051b2,Group,1
GROUP_a2b5a1f9bf38,Group,1
GROUP_d409f6917789,Group,2
GROUP_afbcc5da97c0,Group,7
GROUP_293105c7da6a,Group,1
GROUP_0bec0fab8a97,Group,1
GROUP_20ccb8ec2e00,Group,7
GROUP_65b04f3bce9a,Group,5
GROUP_554619baf5f7,Group,1
GROUP_b885e37f424a,Group,2
GROUP_da58213ad953,Group,2
GROUP_ee28a07d50f1,Group,1
GROUP_8a859a8cfb4e,Group,2
GROUP_0dc28daf1028,Group,4
GROUP_03e8c957743d,Group,1
GROUP_107c54d3d1ca,Group,6
GROUP_6670eb15fa31,Group,1
GROUP_d5b6b8443c61,Group,5
GROUP_a8ef4d37311b,Group,5
GROUP_07aa88bc9db1,Group,1
GROUP_7f1aaef80f6b,Group,2
GROUP_18e86d713bdd,Group,1
GROUP_b20e8902f8a5,Group,1
GROUP_774c7cc3682a,Group,6
GROUP_446dcbe5d567,Group,1
GROUP_8cba15168fd8,Group,1
GROUP_b6a21181dad2,Group,1
GROUP_704aec658fa6,Group,2
GROUP_c3b97b09161b,Group,1
GROUP_247834d03a4a,Group,1
GROUP_c410a40c1ed6,Group,4
GROUP_d0f9f7368856,Group,1
GROUP_23e7de943f91,Group,1
GROUP_0210a2a00bfe,Group,8
GROUP_f7252dad2f94,Group,1
GROUP_a98f1920a8b5,Group,1
GROUP_2c2fc0c2cceb,Group,1
GROUP_90f817c72337,Group,1
GROUP_3b9e77407c74,Group,2
GROUP_57f16c20d07c,Group,5
GROUP_a1120bc7e136,Group,1
GROUP_6708e9147b28,Group,1
GROUP_e002121dba80,Group,4
GROUP_5f4e12cdf3ec,Group,1
GROUP_12e37df0043e,Group,2
GROUP_2fecdb4494f9,Group,1
GROUP_9b55f117e995,Group,1
GROUP_c0471fd6640b,Group,1
GROUP_1fa066777f23,Group,1
GROUP_7a188e52b53c,Group,1
GROUP_696d134b944b,Group,1
GROUP_8e66cf1ece3a,Group,1
GROUP_08fa7d96762c,Group,6
GROUP_ff69cf4e63b9,Group,1
GROUP_5f5c07a9ae29,Group,5
GROUP_434a681410ac,Group,6
GROUP_dba47af602d6,Group,1
GROUP_5916dd6f0b47,Group,1
GROUP_7960656ff85d,Group,4
GROUP_b212bd9e1357,Group,1
GROUP_b1a5ea8823f3,Group,1
GROUP_cf2a131cf0f6,Group,3
GROUP_e1a4bfcdab2c,Group,2
GROUP_59c80780708a,Group,1
GROUP_11c4849a20e1,Group,1
GROUP_e3059859099d,Group,1
GROUP_bb456aebc7aa,Group,1
GROUP_c5b32d866103,Group,1
GROUP_8cf30ec3d8e1,Group,7
GROUP_394962663be8,Group,1
GROUP_6953e2ed2325,Group,1
GROUP_2a2668d74eb2,Group,1
GROUP_bcfbdaa83be8,Group,1
GROUP_74bc570415a1,Group,1
GROUP_66ba16aa7c19,Group,1
GROUP_b73249f7bd1d,Group,1
GROUP_b119f6247933,Group,6
GROUP_ecf454e0bb35,Group,3
GROUP_7c4bb9a92a0a,Group,1
GROUP_bcea878a1236,Group,1
GROUP_9c15609cadd3,Group,7
GROUP_d5dc421d843b,Group,1
GROUP_96be2a6090eb,Group,1
GROUP_61cd8e95e9ee,Group,1
GROUP_c68a11578596,Group,1
GROUP_5f9e5ae42948,Group,1
GROUP_1d58955ad52e,Group,2
GROUP_c70617358d89,Group,3
GROUP_3edf3c99c328,Group,1
GROUP_aa00542f1e89,Group,7
GROUP_59628e6efe70,Group,1
GROUP_9e8e2be69e75,Group,3
GROUP_73bb4dddcc1b,Group,1
GROUP_43f9fb0abf16,Group,1
GROUP_3ef5161c38f7,Group,1
GROUP_8244731886b1,Group,1
GROUP_fa76a86a0d16,Group,1
GROUP_46a058794bb9,Group,1
GROUP_501763e00ef3,Group,1
GROUP_b2df27231a61,Group,1
GROUP_5cce5ba560d9,Group,5
GROUP_fd726a705d00,Group,1
GROUP_b1075fdda897,Group,1
GROUP_9083c2c8e973,Group,1
GROUP_c4a1de69abf2,Group,1
GROUP_35ce90be37f0,Group,5
GROUP_c9015b0490fa,Group,1
GROUP_cc2f58e00a0c,Group,7
GROUP_d5768dcfb8ee,Group,2
GROUP_507d0b436a6b,Group,3
GROUP_5f668a1459ad,Group,1
GROUP_cd8e1519c293,Group,1
GROUP_941654c96617,Group,1
GROUP_6bb9d8b35c3a,Group,5
GROUP_f84a3e3805e4,Group,1
GROUP_aa71f519ca57,Group,1
GROUP_d5d48f8b02e6,Group,1
GROUP_1d2a20f5374e,Group,1
GROUP_c97e1503e57c,Group,1
GROUP_6c3f83a0fd58,Group,1
GROUP_92a5b19cd245,Group,2
GROUP_143812346b77,Group,1
GROUP_ccf7e4398b43,Group,9
GROUP_0d05c7932a26,Group,1
GROUP_87918283d9a7,Group,7
GROUP_5c7e02d1eb86,Group,6
GROUP_16a6252acfa7,Group,1
GROUP_ff1d7a110d65,Group,2
GROUP_05f9fdba9b8b,Group,8
GROUP_949b6bca2904,Group,1
GROUP_6f898803a63d,Group,1
GROUP_4903c131b6ec,Group,1
GROUP_ac0bc8f3bdba,Group,1
GROUP_50fb8e01c951,Group,1
GROUP_8080f99422fa,Group,17
GROUP_145b81e3b3a0,Group,6
GROUP_b1cd5e454648,Group,1
GROUP_780833903473,Group,3
GROUP_db7d475a7fdb,Group,2
GROUP_3dbfc9504dfe,Group,4
GROUP_b605f73086fe,Group,2
GROUP_73537f647cb1,Group,7
GROUP_07b5e584ac7a,Group,2
GROUP_4fff7484fa1b,Group,4
GROUP_776498271899,Group,4
GROUP_ada8251d25dd,Group,5
GROUP_f8d1023efbae,Group,1
GROUP_cf372508f644,Group,1
GROUP_812a16117c85,Group,7
GROUP_c6455a8bb8bc,Group,1
GROUP_b6660aac3203,Group,3
GROUP_b7c557bd358a,Group,4
GROUP_69ac168c8cd3,Group,2
GROUP_21653298b2a9,Group,2
GROUP_b71d17877791,Group,4
GROUP_80f45eedea73,Group,1
GROUP_9b5cc25a4f3e,Group,1
GROUP_d787a41a8f63,Group,3
GROUP_500f69d0143e,Group,2
GROUP_e56667873629,Group,7
GROUP_3e3245245376,Group,3
GROUP_84c0ac478f86,Group,4
GROUP_6f62f69f1ad0,Group,1
GROUP_267093aca8de,Group,6
GROUP_06f17c9af8cd,Group,8
HERB_204d834ded7d,Herb,17
HERB_c1e63a3b9c7d,Herb,20
HERB_938ed24646d5,Herb,8
HERB_e2badf5ae71b,Herb,1
HERB_a5dce27a792e,Herb,2
HERB_8ad17c84021f,Herb,1
HERB_fd41cbfc1a69,Herb,1
HERB_ca9665dc4607,Herb,1
HERB_022a5db71e4c,Herb,1
HERB_27669bc5031c,Herb,1
HERB_fba3ffc36ee7,Herb,1
HERB_833243251800,Herb,1
HERB_638ac5c6ca9e,Herb,1
HERB_1b2956a938ac,Herb,1
HERB_5928db0a9428,Herb,1
HERB_6223b0ef71fe,Herb,1
HERB_6fed06556be1,Herb,1
HERB_ff515e9bae84,Herb,3
HERB_a15cbe7df6bb,Herb,1
HERB_21eb740079e6,Herb,21
HERB_2a920d80796d,Herb,1
HERB_e3b2f0eb7be4,Herb,14
HERB_cf62d213612d,Herb,3
HERB_641bac18c6b0,Herb,1
HERB_7138392cab40,Herb,1
HERB_abe07af46f67,Herb,1
HERB_faebcc4453e0,Herb,4
HERB_1714991d881b,Herb,2
HERB_e0111d4c9866,Herb,2
HERB_1a1d6025951f,Herb,1
HERB_e92f07ae986d,Herb,1
HERB_4066b3a9d34a,Herb,5
HERB_ff678a4de2c8,Herb,6
HERB_73477ce916d4,Herb,2
HERB_43fc31ec8e17,Herb,1
HERB_004fb8505a82,Herb,1
HERB_80ba42a06ae2,Herb,1
HERB_c28c3d32e0ce,Herb,1
HERB_318489b474f2,Herb,1
HERB_9ea85b352033,Herb,1
HERB_76379cf463fd,Herb,1
HERB_9cf3b1f598c3,Herb,13
HERB_cdcb23f80758,Herb,2
HERB_485a9a8c2ef9,Herb,9
HERB_19d061518ecd,Herb,1
HERB_69d22def0532,Herb,2
HERB_936babb94de0,Herb,1
HERB_dfe16c1144a5,Herb,1
HERB_6506dcb24ca9,Herb,1
HERB_61c3e31dce82,Herb,1
HERB_abedd7b6aa98,Herb,6
HERB_136e91cd8bc6,Herb,1
HERB_7f739e1d9f60,Herb,1
HERB_b9fecf62a757,Herb,1
HERB_3ac9982c8bb9,Herb,1
HERB_a7c7238708b2,Herb,1
HERB_eda84f34647e,Herb,1
HERB_e38c3bc922eb,Herb,1
HERB_d0d6fca5f99d,Herb,1
HERB_e4489795d92e,Herb,1
HERB_6d37023eadd8,Herb,1
HERB_bfb3f5bb3172,Herb,1
HERB_d5ee1d27a5c6,Herb,1
HERB_a29c9352ef4a,Herb,1
HERB_c57a1308cc77,Herb,1
HERB_9324073207b0,Herb,5
HERB_ccfe18691c6a,Herb,1
HERB_5c27838114e4,Herb,1
HERB_639def606d07,Herb,1
HERB_d24c0e38dff0,Herb,3
HERB_6937d67e2680,Herb,1
HERB_e43f0617b8e9,Herb,1
HERB_9e69d55e5cff,Herb,1
HERB_a3a882aa4991,Herb,1
HERB_2ea987d632a2,Herb,1
HERB_2c9d534a32a4,Herb,1
HERB_c20da37a2005,Herb,1
HERB_45fb7a387e25,Herb,1
HERB_e9a20ef57f56,Herb,1
HERB_e631fc7697d2,Herb,1
HERB_4c47aa2e614d,Herb,1
HERB_88808436df5c,Herb,1
HERB_9c8e6dea0d58,Herb,1
HERB_2242a822fa5b,Herb,1
HERB_db6731f592cf,Herb,1
HERB_2e76dc324dcd,Herb,1
HERB_638792249dc9,Herb,1
HERB_5b07033e92fa,Herb,1
HERB_80d0ed8ef98e,Herb,1
HERB_bbbb8df54e2a,Herb,1
HERB_448dfc4f8ad2,Herb,1
HERB_e215eca34828,Herb,1
HERB_73ab4dfae5a0,Herb,2
HERB_9a11cd42d999,Herb,1
HERB_3fc82e929f4f,Herb,1
HERB_b3400d9dea35,Herb,1
HERB_786067ce0791,Herb,31
HERB_6f2da33c2e88,Herb,1
HERB_d78ebc216dbc,Herb,1
HERB_f129313023b5,Herb,1
HERB_783098008103,Herb,1
HERB_ccafa31852e8,Herb,1
HERB_b97c7c37835b,Herb,1
HERB_58963a7e5def,Herb,2
HERB_57db999a10e3,Herb,1
HERB_0db943b84f86,Herb,1
HERB_22241273001e,Herb,1
HERB_27cbfba6c9ec,Herb,13
HERB_040d53dba44a,Herb,3
HERB_77dae85c1cf9,Herb,1
HERB_47cb18b52569,Herb,1
HERB_73e441a47891,Herb,1
HERB_24bd7aa41fdd,Herb,1
HERB_f38c905b2a9e,Herb,1
HERB_405060c8decb,Herb,1
HERB_ca9f6c9df209,Herb,1
HERB_af1eeb160210,Herb,2
HERB_88ea498e6159,Herb,1
HERB_9cc8dd227717,Herb,6
HERB_37074632b908,Herb,2
HERB_13debb7ce087,Herb,1
HERB_e799cde79aa4,Herb,11
HERB_d82128a892a5,Herb,1
HERB_24ce88dffe62,Herb,1
HERB_720b7875a78e,Herb,1
HERB_3b1eedfe647e,Herb,1
HERB_8a76f412896e,Herb,1
HERB_9a3e2fa2d875,Herb,2
HERB_70005cf4afcf,Herb,10
HERB_950bffaa6841,Herb,1
HERB_6bfb67b4669a,Herb,1
HERB_25a976e5611a,Herb,1
HERB_bd4a16919193,Herb,1
HERB_4ae68ae1c408,Herb,1
HERB_57731a57c4a8,Herb,1
HERB_a2a353599c5e,Herb,1
HERB_25b65bb8b0f0,Herb,1
HERB_cb17d4bf2672,Herb,1
HERB_2b560af2bba7,Herb,1
HERB_16d517777b6e,Herb,1
HERB_3b0a3d736736,Herb,1
HERB_00515fd0014c,Herb,1
HERB_8ca7c0a9625d,Herb,1
HERB_c7335d2accc6,Herb,1
HERB_4cbc884b8693,Herb,1
HERB_135e7d94b11e,Herb,1
HERB_ff661a85d464,Herb,1
HERB_ee4ef97d3135,Herb,1
HERB_dbcf287531d1,Herb,1
HERB_1a6d09664ec4,Herb,1
HERB_c2c45108ad70,Herb,1
HERB_e6c64117af8b,Herb,1
HERB_73cda4f3c296,Herb,1
HERB_581a2de31cff,Herb,1
HERB_7c1c234dc914,Herb,1
HERB_baf5bc271301,Herb,1
HERB_c1f491372e03,Herb,1
HERB_10c35a80f62f,Herb,1
HERB_7aeadec442ea,Herb,2
HERB_8133e4a6a54c,Herb,20
HERB_f0ad69e87005,Herb,1
HERB_27b733ae6dfc,Herb,1
HERB_d3f0ebb1bafd,Herb,1
HERB_e14cd3c3f751,Herb,1
HERB_34bfa52d578b,Herb,1
HERB_a10aa9be0198,Herb,2
HERB_8f3b22aaf490,Herb,2
HERB_b901b82839b8,Herb,3
HERB_75f90840c0fb,Herb,1
HERB_bb4f7d35fdbe,Herb,1
HERB_79d8efa68a07,Herb,1
HERB_f76e935fd6f4,Herb,1
HERB_63ccfa1534de,Herb,3
HERB_9b9ea7f97308,Herb,10
HERB_c4980f96197f,Herb,16
