source,target,relation,source_sheet,raw_source,raw_target,fold
COMPOUND_4642bcc1a129,DISEASE_071459a0c2fd,TREATS,Compound-Treats relationship,व्रणशोधन तैल,कुष्ठ,0
COMPOUND_4642bcc1a129,SYMPTOM_3faa2dca34a0,TREATS,Compound-Treats relationship,व्रणशोधन तैल,दारुणक,0
COMPOUND_4642bcc1a129,DISEASE_0ace1f8e701c,TREATS,Compound-Treats relationship,व्रणशोधन तैल,विसर्प,0
COMPOUND_4642bcc1a129,SYMPTOM_86587ca982e7,TREATS,Compound-Treats relationship,व्रणशोधन तैल,क्षुद्रकुष्ठ,0
COMPOUND_6b9395423da1,SYMPTOM_b932617bd529,TREATS,Compound-Treats relationship,व्रणरोपण तैल,व्रण,0
COMPOUND_709eef9436bc,SYMPTOM_de00827d7e8e,TREATS,Compound-Treats relationship,वैश्वानर चूर्ण,अग्निमांद्य,1
COMPOUND_709eef9436bc,SYMPTOM_b4b1fb71c52c,TREATS,Compound-Treats relationship,वैश्वानर चूर्ण,अजीर्ण,1
COMPOUND_709eef9436bc,SYMPTOM_d2d6e1fd96a2,TREATS,Compound-Treats relationship,वैश्वानर चूर्ण,आध्यान,1
COMPOUND_9767e271af6c,DISEASE_feccf9386d2e,TREATS,Compound-Treats relationship,वीरतर्वादि क्वाथ,मुत्रकृच्छ,0
COMPOUND_9767e271af6c,DISEASE_ef3323aa3b9e,TREATS,Compound-Treats relationship,वीरतर्वादि क्वाथ,मूत्राघात,0
COMPOUND_ad0c3803d534,SYMPTOM_f8703b74a201,TREATS,Compound-Treats relationship,विषाणभस्म योग,पार्श्वशूल,3
COMPOUND_2b70dbe4c323,SYMPTOM_7f628127e24e,TREATS,Compound-Treats relationship,विषतींदुक वटी,अलसक,1
COMPOUND_2b70dbe4c323,SYMPTOM_0ebf3cbae989,TREATS,Compound-Treats relationship,विषतींदुक वटी,कलायखंज,1
COMPOUND_2b70dbe4c323,DISEASE_ef3323aa3b9e,TREATS,Compound-Treats relationship,विषतींदुक वटी,मूत्राघात,1
COMPOUND_2b70dbe4c323,SYMPTOM_b0a86039f54f,TREATS,Compound-Treats relationship,विषतींदुक वटी,वातनिरोधज उदावर्त,1
COMPOUND_2b70dbe4c323,SYMPTOM_1ef01892fcb7,TREATS,Compound-Treats relationship,विषतींदुक वटी,विलंबिका,1
COMPOUND_02d13acc4b8d,SYMPTOM_8c8e9a9a5f8a,TREATS,Compound-Treats relationship,विषगर्भ तैल,गृध्रसी,0
COMPOUND_02d13acc4b8d,SYMPTOM_911238c83a7a,TREATS,Compound-Treats relationship,विषगर्भ तैल,मांसगतवात,0
COMPOUND_02d13acc4b8d,SYMPTOM_a12879b9590a,TREATS,Compound-Treats relationship,विषगर्भ तैल,संधिगतवात,0
COMPOUND_02d13acc4b8d,SYMPTOM_0a61ad588557,TREATS,Compound-Treats relationship,विषगर्भ तैल,वातव्याधि,0
COMPOUND_5cbe8250fe43,SYMPTOM_c4b059814f9a,TREATS,Compound-Treats relationship,विरेचन क्वाथ,आम्लपित्त,4
COMPOUND_5cbe8250fe43,SYMPTOM_4d4f65befc86,TREATS,Compound-Treats relationship,विरेचन क्वाथ,मृदुविरेचक,4
COMPOUND_3830239d12ca,SYMPTOM_ac6155f9b05b,TREATS,Compound-Treats relationship,विडंगासव,कृमी,2
COMPOUND_3830239d12ca,SYMPTOM_7c9145c4a20c,TREATS,Compound-Treats relationship,विडंगासव,श्वित्र,2
COMPOUND_43297ffa8c06,SYMPTOM_ac6155f9b05b,TREATS,Compound-Treats relationship,विडंगारिष्ट,कृमी,1
COMPOUND_43297ffa8c06,SYMPTOM_7c9145c4a20c,TREATS,Compound-Treats relationship,विडंगारिष्ट,श्वित्र,1
